cycle;count;loss_training;loss_validation;cost_training;cost_validation;accuracy_training;accuracy_validation;accuracy_test
1;1;2.30273;2.30265;2.30261;2.30261;0.09457;0.10500;0.09960
1;450;1.91567;1.76995;1.77321;1.77517;0.36090;0.36600;0.36280
1;900;1.69289;1.61618;1.58590;1.59486;0.45218;0.43400;0.44120
1;1350;1.74151;1.64610;1.52957;1.55036;0.48586;0.50000;0.46320
1;1800;1.42384;1.69389;1.54153;1.57857;0.49273;0.47700;0.47590
1;2250;1.59313;1.67716;1.55734;1.60669;0.49286;0.48700;0.46520
1;2700;1.59972;1.61193;1.49300;1.53411;0.52298;0.50400;0.49100
1;3150;1.57402;1.62847;1.45550;1.52185;0.54167;0.52000;0.49780
1;3600;1.58521;1.56876;1.39995;1.48402;0.55822;0.52600;0.51110
1;4050;1.50290;1.51151;1.33917;1.44028;0.57729;0.54100;0.52730
1;4500;1.39496;1.48619;1.28393;1.40455;0.59671;0.55600;0.53380
2;4950;1.44944;1.53169;1.31422;1.43804;0.58318;0.53700;0.52330
2;5400;1.51088;1.56587;1.38174;1.49078;0.56153;0.52200;0.50250
2;5850;1.55884;1.62930;1.44320;1.52022;0.54253;0.50000;0.49700
2;6300;1.58919;1.64396;1.49157;1.55875;0.53000;0.51700;0.48950
2;6750;1.66947;1.63150;1.50478;1.57689;0.52890;0.50100;0.48670
2;7200;1.59349;1.58471;1.47873;1.54857;0.54194;0.51900;0.49550
2;7650;1.59897;1.55055;1.43223;1.52169;0.55367;0.50000;0.51170
2;8100;1.43809;1.53330;1.37936;1.47029;0.56800;0.52000;0.51690
2;8550;1.45814;1.44686;1.30719;1.43604;0.59365;0.53000;0.52750
2;9000;1.33813;1.44984;1.24559;1.39708;0.61596;0.55200;0.53440
