cycle;count;loss_training;loss_validation;cost_training;cost_validation;accuracy_training;accuracy_validation;accuracy_test
1;1;3.38635;3.28002;3.21783;3.22162;0.09398;0.10400;0.09940
1;450;2.39085;2.33122;2.31230;2.32889;0.40031;0.37900;0.39500
1;900;2.16753;2.03577;2.01452;2.05626;0.45698;0.44500;0.43910
1;1350;1.91788;1.85629;1.78323;1.83641;0.48688;0.47100;0.46720
1;1800;1.56465;1.77366;1.67211;1.73160;0.49190;0.47600;0.47440
1;2250;1.61973;1.73011;1.61012;1.65156;0.49386;0.46800;0.47090
1;2700;1.61626;1.62536;1.54785;1.59395;0.51329;0.48200;0.48730
1;3150;1.59331;1.67597;1.49213;1.57261;0.53304;0.50600;0.50250
1;3600;1.60802;1.63988;1.42410;1.51850;0.55500;0.52700;0.51230
1;4050;1.46820;1.54254;1.36930;1.46823;0.57002;0.55300;0.52160
1;4500;1.39264;1.52971;1.30162;1.43067;0.59698;0.54900;0.53300
2;4950;1.42447;1.56808;1.32977;1.46283;0.58416;0.54300;0.51720
2;5400;1.51506;1.62148;1.39952;1.50129;0.55920;0.53000;0.50880
2;5850;1.60717;1.71450;1.47804;1.55370;0.53261;0.51700;0.49000
2;6300;1.53299;1.74200;1.49713;1.59286;0.53078;0.49600;0.49300
2;6750;1.67888;1.62454;1.52126;1.60077;0.52627;0.50000;0.48990
2;7200;1.58428;1.61929;1.49201;1.56437;0.53859;0.51000;0.49740
2;7650;1.60658;1.61474;1.44031;1.54613;0.55298;0.52400;0.51140
2;8100;1.40343;1.50353;1.38031;1.46215;0.57306;0.52500;0.51780
2;8550;1.40971;1.49563;1.32629;1.45339;0.58890;0.54000;0.52460
2;9000;1.33694;1.47570;1.25616;1.40822;0.61557;0.54400;0.54060
3;9450;1.38838;1.55185;1.30200;1.46033;0.59594;0.53100;0.52020
3;9900;1.43988;1.66979;1.40554;1.54264;0.55733;0.50200;0.50160
3;10350;1.52294;1.68350;1.46258;1.60370;0.54343;0.48800;0.48910
3;10800;1.58477;1.70507;1.48313;1.56517;0.53759;0.49300;0.49230
3;11250;1.61349;1.67688;1.50284;1.57000;0.53441;0.50800;0.49860
3;11700;1.62679;1.70281;1.48571;1.58066;0.53978;0.50200;0.50420
3;12150;1.56336;1.62881;1.45314;1.57308;0.54943;0.50500;0.50190
3;12600;1.43082;1.54291;1.38741;1.49442;0.57047;0.52600;0.51770
3;13050;1.32568;1.58134;1.31219;1.45868;0.59678;0.55200;0.52550
3;13500;1.28828;1.50091;1.23687;1.39504;0.62129;0.56100;0.54270
