epoch;training_loss;validation_loss;difference;accuracy
145;1.91986;1.92937;0.00951;0.37830
146;1.92032;1.93650;0.01619;0.37690
147;1.92041;1.93511;0.01470;0.37910
148;1.92014;1.93140;0.01127;0.38400
149;1.91958;1.93027;0.01068;0.37710
150;1.91975;1.93447;0.01472;0.37770
151;1.91920;1.93396;0.01475;0.37910
152;1.91862;1.93050;0.01188;0.37970
153;1.92034;1.93160;0.01126;0.37670
154;1.91934;1.92786;0.00852;0.37700
155;1.91890;1.93361;0.01470;0.37670
156;1.91978;1.93046;0.01068;0.37720
157;1.92289;1.93564;0.01275;0.38150
158;1.92017;1.92929;0.00912;0.37750
159;1.92009;1.93474;0.01465;0.37980
160;1.92001;1.93346;0.01345;0.37760
161;1.92220;1.93795;0.01574;0.38030
162;1.92022;1.93137;0.01115;0.37900
163;1.91971;1.92911;0.00941;0.37930
164;1.92131;1.93248;0.01117;0.37380
165;1.91897;1.93169;0.01272;0.38110
166;1.91973;1.93211;0.01238;0.37570
167;1.91969;1.93365;0.01396;0.38060
168;1.92070;1.93067;0.00997;0.38050
169;1.91951;1.93223;0.01272;0.38120
170;1.91956;1.92925;0.00969;0.38000
171;1.92127;1.92742;0.00615;0.37850
172;1.92060;1.92806;0.00746;0.37590
173;1.91985;1.93448;0.01464;0.37920
174;1.91953;1.93114;0.01161;0.37900
175;1.92006;1.93243;0.01237;0.37810
176;1.92222;1.92800;0.00578;0.37620
177;1.92046;1.93493;0.01447;0.37650
178;1.91978;1.93178;0.01200;0.37700
179;1.92091;1.93111;0.01020;0.37880
180;1.92088;1.92799;0.00711;0.37680
181;1.92144;1.93082;0.00938;0.37890
182;1.92092;1.93175;0.01084;0.38170
183;1.91971;1.93044;0.01073;0.37950
184;1.92020;1.93106;0.01086;0.38360
185;1.91922;1.93036;0.01114;0.37940
186;1.92309;1.94260;0.01951;0.37380
187;1.91971;1.93115;0.01143;0.37950
188;1.91989;1.92904;0.00915;0.37770
189;1.91975;1.93182;0.01207;0.37890
