step;smooth_loss;loss
19901; 50.452272;62.186473
20001; 50.412202;40.125354
20101; 50.465807;48.492704
20201; 50.386775;45.039026
20301; 50.425029;58.670419
20401; 50.480380;44.451713
20501; 50.479345;48.845258
20601; 50.511432;42.090018
20701; 50.450501;51.680561
20801; 50.439534;58.959768
20901; 50.296090;62.905861
21001; 50.110764;34.391655
21101; 50.060643;34.193458
21201; 49.984754;49.121417
21301; 49.879755;46.767915
21401; 49.839538;59.212651
21501; 49.733185;58.926074
21601; 49.638363;47.448731
21701; 49.471485;53.786304
21801; 49.389274;50.707578
21901; 49.433463;54.034288
22001; 49.462079;47.253746
22101; 49.598827;61.535941
22201; 49.783448;50.365880
22301; 49.738770;40.213723
22401; 49.921235;53.086273
22501; 50.006470;46.635153
22601; 49.783170;48.990458
22701; 49.873200;50.027976
22801; 49.893739;53.758157
22901; 49.906821;43.440391
23001; 49.865561;47.700920
23101; 49.687016;39.075699
23201; 49.916928;63.320350
23301; 50.091763;56.878335
23401; 50.054315;47.249738
23501; 50.060330;57.401972
23601; 50.106561;60.903493
23701; 49.992320;75.237303
23801; 49.973662;61.617981
23901; 49.925838;41.431039
24001; 49.708991;42.641769
24101; 49.508054;56.547818
24201; 49.483421;55.500002
24301; 49.691400;44.717161
24401; 49.853752;53.700635
24501; 49.859546;51.063813
24601; 49.868854;46.190102
24701; 49.985506;42.798492
24801; 49.961545;54.392265
24901; 49.922430;43.947651
25001; 49.830720;57.940217
25101; 49.911844;60.306343
25201; 50.175489;57.052334
25301; 50.149746;49.148880
25401; 49.952297;47.715749
25501; 49.797299;63.772332
25601; 49.886864;48.008916
25701; 50.002827;54.184400
25801; 50.117137;42.165642
25901; 49.983911;46.103177
26001; 49.801035;63.847246
26101; 49.774369;51.862716
26201; 49.679181;56.581168
26301; 49.667375;53.416192
26401; 50.329633;56.882674
26501; 50.713466;44.879626
26601; 50.424190;39.491231
26701; 50.200190;35.384265
26801; 49.906163;47.438317
26901; 49.921740;44.791075
27001; 49.751474;36.304262
27101; 49.851130;54.126954
27201; 49.792744;40.054257
27301; 49.520142;55.119216
27401; 49.603949;67.859282
27501; 49.888221;64.466901
27601; 50.012419;44.116290
27701; 50.013600;64.851475
27801; 50.046518;55.467891
27901; 50.064335;39.925979
28001; 50.033046;45.951111
28101; 49.977557;49.712540
28201; 50.036679;34.841423
28301; 50.112305;44.324877
28401; 50.180444;49.276820
28501; 50.137792;46.254430
28601; 49.918653;40.118366
28701; 49.770401;52.061616
28801; 49.517111;43.477305
28901; 49.556798;43.777897
29001; 49.376969;45.201101
29101; 49.506012;37.029367
29201; 49.659359;39.484813
29301; 49.550256;70.692500
29401; 49.748477;44.050760
29501; 49.708468;51.595540
29601; 49.638708;57.382202
29701; 49.432419;43.328419
29801; 49.287377;36.780503
29901; 49.211831;51.186106
30001; 49.123190;43.457702
30101; 49.035802;47.175534
30201; 48.870900;55.425270
30301; 48.576068;39.913924
30401; 48.425116;46.729190
30501; 48.411655;46.986480
30601; 48.734108;35.644851
30701; 48.755693;37.458817
30801; 48.841223;54.286664
30901; 49.277474;55.160502
31001; 49.234034;50.609796
31101; 49.289593;42.362237
31201; 49.123520;42.062273
31301; 49.043936;45.593922
31401; 48.897402;57.543044
31501; 48.994333;65.924547
31601; 48.902125;37.246141
31701; 48.713355;40.706573
31801; 48.748795;46.196542
31901; 48.746695;51.277942
32001; 48.778724;58.057052
32101; 48.665165;46.604789
32201; 48.607183;32.221877
32301; 48.625708;49.812904
32401; 48.578809;63.812514
32501; 48.616777;38.034346
32601; 48.544309;47.696916
32701; 48.705883;58.365194
32801; 48.830359;45.357603
32901; 48.847621;40.712813
33001; 48.799461;44.779337
33101; 48.827188;44.486694
33201; 48.934289;51.453389
33301; 48.839855;53.651828
33401; 48.789142;50.118358
33501; 48.609017;33.280191
33601; 48.489091;40.238831
33701; 48.295492;40.531036
33801; 48.082957;38.284011
33901; 48.018661;65.302096
34001; 48.030959;64.036819
34101; 47.704440;39.525251
34201; 47.646267;43.163448
34301; 47.368756;42.161896
34401; 47.383757;53.410175
34501; 47.369990;45.678304
34601; 47.356467;67.944873
34701; 47.490222;36.402046
34801; 47.648977;48.696267
34901; 47.509364;60.721476
35001; 47.861793;49.409056
35101; 47.880438;44.766130
35201; 47.827495;44.821413
35301; 47.610882;44.618030
