step;smooth_loss;loss
22801; 52.519694;58.715078
22901; 52.656615;49.861733
23001; 52.686210;46.025809
23101; 52.543210;44.473804
23201; 52.780640;61.328818
23301; 52.998628;60.349423
23401; 52.955853;52.467690
23501; 52.956763;60.350240
23601; 53.017489;63.726861
23701; 52.899555;79.607963
23801; 52.841898;62.796917
23901; 52.780236;40.285056
24001; 52.523970;47.701670
24101; 52.330502;56.620038
24201; 52.388274;56.150446
24301; 52.552551;45.577593
24401; 52.697095;56.617178
24501; 52.647484;55.493748
24601; 52.658212;44.542169
24701; 52.743914;43.562193
24801; 52.671665;54.699788
24901; 52.675029;52.025294
25001; 52.520696;59.853298
25101; 52.549728;57.396107
25201; 52.768002;57.084716
25301; 52.729107;52.652001
25401; 52.491529;48.996016
25501; 52.328209;61.449340
25601; 52.448825;52.699676
25701; 52.476401;54.828284
25801; 52.586429;49.626806
25901; 52.511459;49.367959
26001; 52.405532;65.946074
26101; 52.469983;56.168623
26201; 52.348713;64.333264
26301; 52.317678;50.734573
26401; 52.900518;57.683752
26501; 53.205126;48.605640
26601; 52.970135;44.173264
26701; 52.819287;40.481216
26801; 52.572507;50.490403
26901; 52.572851;50.928164
27001; 52.441329;37.796141
27101; 52.537562;56.665237
27201; 52.469469;44.566071
27301; 52.214181;58.910007
27401; 52.371555;66.587259
27501; 52.584995;57.990182
27601; 52.676433;43.645595
27701; 52.607231;64.379450
27801; 52.521518;55.504263
27901; 52.500440;43.162258
28001; 52.445144;52.020176
28101; 52.392027;54.757913
28201; 52.449153;38.575844
28301; 52.547723;51.982975
28401; 52.601896;46.358499
28501; 52.622636;52.504292
28601; 52.485828;44.054026
28701; 52.331692;51.614622
28801; 52.088244;44.403524
28901; 52.138810;52.596460
29001; 51.961805;53.268544
29101; 52.091498;36.894096
29201; 52.248509;45.091296
29301; 52.124423;74.393476
29401; 52.297647;47.534020
29501; 52.200461;51.537581
29601; 52.129693;68.154634
29701; 51.940333;44.380467
29801; 51.823305;44.191865
29901; 51.691558;52.336252
30001; 51.550214;52.337462
30101; 51.414485;49.135199
30201; 51.286996;51.614574
30301; 51.020863;42.636262
30401; 50.895304;47.555769
30501; 50.878843;50.120954
30601; 51.177804;37.927974
30701; 51.286679;40.428837
30801; 51.360277;52.960854
30901; 51.686850;54.872785
31001; 51.643593;47.450185
31101; 51.683945;47.858316
31201; 51.547460;45.523768
31301; 51.531579;48.129359
31401; 51.322024;60.614329
31501; 51.429999;71.041016
31601; 51.325708;42.587780
31701; 51.197868;47.736372
31801; 51.318974;51.092065
31901; 51.314311;46.890637
32001; 51.301799;54.123028
32101; 51.290323;56.042117
32201; 51.254949;30.990590
