cycle;count;loss_training;loss_validation;cost_training;cost_validation;accuracy_training;accuracy_validation;accuracy_test
1;1;2.66676;2.73068;2.81448;2.80748;0.09104;0.09080;0.08940
1;180;2.02724;1.66536;1.91926;1.95522;0.37353;0.36960;0.37290
1;360;1.88975;1.48694;1.77497;1.83457;0.42296;0.40180;0.40900
1;540;1.80488;1.43265;1.71866;1.76909;0.43913;0.42440;0.42590
1;720;1.76871;1.45940;1.71187;1.78384;0.43593;0.41580;0.41890
1;900;1.74506;1.44311;1.66586;1.71206;0.43984;0.43160;0.41900
1;1080;1.66320;1.37482;1.60193;1.66811;0.46776;0.45740;0.45010
1;1260;1.69541;1.33140;1.51973;1.60993;0.49953;0.47560;0.46590
1;1440;1.55019;1.30686;1.46969;1.56040;0.52493;0.49140;0.48850
1;1620;1.52608;1.30379;1.43782;1.54422;0.53522;0.49680;0.49760
1;1800;1.50803;1.28923;1.40556;1.50932;0.54904;0.50420;0.50430
2;1980;1.50684;1.29241;1.41523;1.52344;0.54087;0.50440;0.49620
2;2160;1.60006;1.32384;1.44283;1.56462;0.52776;0.48460;0.48200
2;2340;1.57341;1.35240;1.48325;1.59351;0.51862;0.47780;0.47450
2;2520;1.63065;1.39848;1.54698;1.67770;0.49362;0.45220;0.45140
2;2700;1.63128;1.37514;1.53868;1.63884;0.48749;0.45600;0.44920
2;2880;1.57283;1.38739;1.50734;1.62055;0.50429;0.47460;0.46760
2;3060;1.64268;1.37809;1.44516;1.58423;0.52593;0.47620;0.47060
2;3240;1.48157;1.31149;1.39251;1.53197;0.55000;0.50100;0.49660
2;3420;1.44295;1.29606;1.35864;1.51520;0.56011;0.50840;0.50250
2;3600;1.42402;1.30578;1.32345;1.47911;0.57847;0.51860;0.51470
3;3780;1.41131;1.29990;1.33680;1.49330;0.56964;0.51820;0.50860
3;3960;1.53886;1.37612;1.37805;1.55021;0.55313;0.48960;0.48780
3;4140;1.53418;1.38076;1.42175;1.57415;0.53967;0.48340;0.48260
3;4320;1.58787;1.43082;1.48770;1.65791;0.51531;0.46600;0.46240
3;4500;1.53572;1.42756;1.52494;1.65915;0.49851;0.45480;0.45180
3;4680;1.51861;1.39706;1.47891;1.62383;0.51704;0.47280;0.46880
3;4860;1.58648;1.42038;1.41801;1.58820;0.54027;0.47960;0.47620
3;5040;1.44637;1.32485;1.35986;1.52652;0.56696;0.50840;0.49750
3;5220;1.38309;1.30814;1.32313;1.51261;0.57827;0.51060;0.50520
3;5400;1.37309;1.30620;1.28650;1.47406;0.59511;0.52700;0.51540
