epoch;training_loss;validation_loss;difference;accuracy
145;0.16256;2.52466;2.36209;0.20210
146;0.16097;2.52666;2.36569;0.20200
147;0.15940;2.52740;2.36800;0.20220
148;0.15786;2.53065;2.37279;0.20200
149;0.15638;2.53049;2.37412;0.20180
150;0.15484;2.53322;2.37839;0.20210
151;0.15340;2.53378;2.38038;0.20180
152;0.15198;2.53707;2.38509;0.20190
153;0.15052;2.53804;2.38752;0.20190
154;0.14914;2.54048;2.39134;0.20210
155;0.14776;2.54073;2.39298;0.20200
156;0.14641;2.54277;2.39636;0.20210
157;0.14509;2.54484;2.39975;0.20210
158;0.14376;2.54568;2.40192;0.20230
159;0.14247;2.54807;2.40560;0.20240
160;0.14118;2.54998;2.40880;0.20220
161;0.13990;2.55090;2.41100;0.20240
162;0.13869;2.55322;2.41452;0.20250
163;0.13742;2.55464;2.41722;0.20230
164;0.13623;2.55682;2.42059;0.20240
165;0.13503;2.55800;2.42296;0.20240
166;0.13389;2.55997;2.42608;0.20230
167;0.13273;2.56195;2.42922;0.20240
168;0.13156;2.56359;2.43202;0.20230
169;0.13043;2.56441;2.43398;0.20190
170;0.12934;2.56669;2.43736;0.20210
171;0.12825;2.56836;2.44011;0.20210
172;0.12717;2.56987;2.44270;0.20200
173;0.12609;2.57210;2.44601;0.20200
174;0.12503;2.57325;2.44822;0.20200
175;0.12401;2.57522;2.45120;0.20220
176;0.12300;2.57711;2.45411;0.20210
177;0.12200;2.57803;2.45603;0.20250
178;0.12101;2.58151;2.46049;0.20220
179;0.12001;2.58113;2.46112;0.20230
180;0.11906;2.58341;2.46435;0.20220
181;0.11810;2.58468;2.46658;0.20260
182;0.11717;2.58685;2.46968;0.20240
183;0.11624;2.58849;2.47226;0.20240
184;0.11530;2.59020;2.47490;0.20230
185;0.11441;2.59142;2.47700;0.20230
186;0.11353;2.59346;2.47994;0.20220
187;0.11263;2.59471;2.48208;0.20220
188;0.11176;2.59636;2.48460;0.20230
189;0.11090;2.59868;2.48778;0.20230
190;0.11005;2.59898;2.48893;0.20230
191;0.10924;2.60134;2.49211;0.20240
192;0.10840;2.60294;2.49455;0.20290
193;0.10758;2.60406;2.49648;0.20270
194;0.10677;2.60674;2.49997;0.20300
195;0.10598;2.60740;2.50142;0.20300
196;0.10521;2.60917;2.50396;0.20310
197;0.10443;2.61110;2.50667;0.20290
198;0.10365;2.61198;2.50834;0.20290
199;0.10291;2.61374;2.51084;0.20310
200;0.10216;2.61573;2.51357;0.20320
